iter	Passed	Remaining
592	2001	1373
593	2009	1373
594	2012	1369
595	2015	1366
596	2024	1366
597	2027	1363
598	2032	1360
599	2035	1357
600	2038	1353
601	2041	1349
602	2044	1346
603	2052	1345
604	2054	1341
605	2057	1337
606	2059	1333
607	2062	1329
608	2065	1325
609	2067	1321
610	2068	1317
611	2070	1312
612	2072	1308
613	2074	1304
614	2077	1300
615	2079	1296
616	2080	1291
617	2082	1287
618	2084	1282
619	2085	1278
620	2088	1274
621	2089	1270
622	2091	1265
623	2093	1261
624	2094	1256
625	2096	1252
626	2098	1248
627	2100	1244
628	2102	1239
629	2104	1235
630	2105	1231
631	2107	1227
632	2109	1222
633	2112	1219
634	2114	1215
635	2116	1211
636	2118	1207
637	2121	1203
638	2123	1199
639	2125	1195
640	2127	1191
641	2129	1187
642	2131	1183
643	2132	1179
644	2134	1175
645	2137	1171
646	2139	1167
647	2141	1163
648	2144	1159
649	2146	1155
650	2150	1152
651	2156	1150
652	2158	1146
653	2160	1142
654	2161	1138
655	2164	1135
656	2166	1131
657	2168	1127
658	2172	1123
659	2173	1119
660	2175	1115
661	2183	1114
662	2186	1111
663	2188	1107
664	2190	1103
665	2193	1100
666	2195	1096
667	2198	1092
668	2199	1088
669	2202	1084
670	2205	1081
671	2214	1081
672	2216	1077
673	2219	1073
674	2220	1069
675	2225	1066
676	2227	1062
677	2229	1058
678	2231	1054
679	2233	1051
680	2241	1050
681	2243	1046
682	2245	1042
683	2247	1038
684	2249	1034
685	2251	1030
686	2253	1026
687	2255	1022
688	2256	1018
689	2258	1014
690	2260	1010
691	2262	1006
692	2267	1004
693	2269	1000
694	2271	996
695	2272	992
696	2274	988
697	2276	984
698	2278	980
699	2280	977
700	2282	973
701	2284	969
702	2286	965
703	2288	962
704	2290	958
705	2292	954
706	2295	951
707	2297	947
708	2298	943
709	2300	939
710	2302	936
711	2304	932
712	2306	928
713	2309	925
714	2311	921
715	2313	917
716	2316	914
717	2318	910
718	2325	908
719	2327	905
720	2329	901
721	2331	897
722	2332	893
723	2334	890
724	2337	886
725	2339	882
726	2341	879
727	2343	875
728	2344	871
729	2347	868
730	2355	866
731	2357	863
732	2359	859
733	2361	855
734	2362	851
735	2365	848
736	2367	844
737	2369	841
738	2372	837
739	2374	834
740	2376	830
741	2380	827
742	2382	824
743	2384	820
744	2385	816
745	2387	812
746	2389	809
747	2390	805
748	2393	802
749	2395	798
750	2397	794
751	2399	791
752	2401	787
753	2404	784
754	2405	780
755	2411	778
756	2413	774
757	2415	771
758	2416	767
759	2418	763
760	2420	760
761	2422	756
762	2423	752
763	2425	749
764	2427	745
765	2428	741
766	2430	738
767	2432	734
768	2434	731
769	2436	727
770	2437	724
771	2439	720
772	2440	716
773	2442	713
774	2443	709
775	2445	705
776	2447	702
777	2449	698
778	2451	695
779	2453	692
780	2455	688
781	2457	685
782	2459	681
783	2463	678
784	2464	675
785	2466	671
786	2467	667
787	2469	664
788	2470	660
789	2472	657
790	2473	653
791	2476	650
792	2478	646
793	2479	643
794	2481	639
795	2483	636
796	2485	632
797	2486	629
798	2488	626
799	2493	623
800	2495	619
801	2497	616
802	2498	613
803	2500	609
804	2502	606
805	2503	602
806	2505	599
807	2507	595
808	2508	592
809	2510	588
810	2512	585
811	2513	582
812	2515	578
813	2517	575
814	2520	572
815	2521	568
816	2523	565
817	2524	561
818	2526	558
819	2527	554
820	2529	551
821	2530	548
822	2533	544
823	2535	541
824	2537	538
825	2539	534
826	2541	531
827	2543	528
828	2545	524
829	2549	522
830	2551	518
831	2552	515
832	2554	512
833	2555	508
834	2557	505
835	2559	502
836	2561	498
837	2563	495
838	2565	492
839	2566	488
840	2569	485
841	2571	482
842	2572	479
843	2578	476
844	2580	473
845	2582	470
846	2583	466
847	2585	463
848	2587	460
849	2588	456
850	2591	453
851	2593	450
852	2596	447
853	2598	444
854	2600	441
855	2603	437
856	2605	434
857	2607	431
858	2608	428
859	2610	424
860	2611	421
861	2614	418
862	2616	415
863	2618	412
864	2620	408
865	2622	405
866	2625	402
867	2627	399
868	2632	396
869	2633	393
870	2635	390
871	2637	387
872	2638	383
873	2640	380
874	2643	377
875	2645	374
876	2647	371
877	2649	368
878	2651	365
879	2653	361
880	2660	359
881	2662	356
882	2664	353
883	2666	349
884	2668	346
885	2670	343
886	2673	340
887	2675	337
888	2677	334
889	2679	331
890	2681	328
891	2688	325
892	2690	322
893	2691	319
894	2693	316
895	2695	312
896	2697	309
897	2700	306
898	2702	303
899	2704	300
900	2706	297
901	2708	294
902	2710	291
903	2715	288
904	2717	285
905	2719	282
906	2721	279
907	2723	275
908	2725	272
909	2727	269
910	2729	266
911	2731	263
912	2733	260
913	2735	257
914	2737	254
915	2739	251
916	2743	248
917	2745	245
918	2747	242
919	2749	239
920	2750	235
921	2752	232
922	2754	229
923	2757	226
924	2759	223
925	2761	220
926	2763	217
927	2766	214
928	2768	211
929	2773	208
930	2775	205
931	2778	202
932	2779	199
933	2781	196
934	2783	193
935	2785	190
936	2787	187
937	2788	184
938	2790	181
939	2792	178
940	2794	175
941	2796	172
942	2803	169
943	2804	166
944	2806	163
945	2807	160
946	2809	157
947	2811	154
948	2812	151
949	2814	148
950	2816	145
951	2818	142
952	2819	139
953	2821	136
954	2823	133
955	2825	130
956	2827	127
957	2829	124
958	2830	121
959	2832	118
960	2834	115
961	2835	112
962	2837	109
963	2838	106
964	2841	103
965	2843	100
966	2845	97
967	2847	94
968	2849	91
969	2851	88
970	2853	85
971	2861	82
972	2862	79
973	2864	76
974	2865	73
975	2867	70
976	2868	67
977	2871	64
978	2873	61
979	2874	58
980	2876	55
981	2878	52
982	2879	49
983	2881	46
984	2887	43
985	2889	41
986	2891	38
987	2892	35
988	2894	32
989	2896	29
990	2897	26
991	2900	23
992	2902	20
993	2904	17
994	2906	14
995	2907	11
996	2909	8
997	2912	5
998	2914	2
999	2915	0
